image_id,date,wse_m,boundary_area_m2,boundary_perimeter_m,perimeter_ratio,is_outlier,dem_extent_m2,pct_diff,expansion_volume_m3,expansion_pixel_count,excluded_from_volume_calc
20170531,2017-05-31,994.629,38580718.39240239,65787.25352906466,1.007404503793183,False,37633815.58419705,-2.4543420850136575,0.0,0.0,False
20170630,2017-06-30,994.3882,38389965.671848126,65127.48820871026,0.9973014744141264,False,37388877.094682574,-2.6076829182987864,0.0,0.0,False
20170731,2017-07-31,994.6343,38720452.323481545,65129.98987270815,0.9973397825580792,False,37641861.00903512,-2.7855855232154103,0.0,0.0,False
20170831,2017-08-31,994.73535,39058086.17068561,63450.89373670644,0.9716276739204609,False,37738406.10709192,-3.3787627428200944,0.0,0.0,False
20170930,2017-09-30,994.9696,39257794.73941501,63270.7237079505,0.9688687185198209,False,37941329.60022982,-3.3533853542299283,0.0,0.0,False
20171031,2017-10-31,994.8624,39025838.88435794,63212.26820247077,0.9679735855520679,False,37840314.82170743,-3.03779264339064,0.0,0.0,False
20171130,2017-11-30,995.2952,39469149.39032672,62850.74815725901,0.9624376055221836,False,38283707.12389422,-3.003465452749369,0.0,0.0,False
20171231,2017-12-31,996.06036,40407729.99226193,71346.78324878388,1.0925379449717663,False,39107022.26565639,-3.2189576767975514,0.0,0.0,False
20180131,2018-01-31,995.01056,39075990.24582792,64889.7735304705,0.9936613340430029,False,37972617.36348897,-2.8236594271766506,0.0,0.0,False
20180228,2018-02-28,995.52856,39731583.46121744,76138.75427707333,1.1659177098499656,False,38534009.22996741,-3.014161850405489,0.0,0.0,False
20180331,2018-03-31,994.7385,38710593.17025892,63810.40951595758,0.9771329624949763,False,37741981.85146439,-2.502186712909126,0.0,0.0,False
20180430,2018-04-30,995.0038,38976572.4278579,62670.57586350199,0.9596786154374344,False,37967253.746930264,-2.5895521798274888,0.0,0.0,False
20180531,2018-05-31,995.66394,39782593.92648672,63029.68633590888,0.9651776975218107,False,38661842.09128336,-2.8171914513024823,0.0,0.0,False
20180630,2018-06-30,996.02435,40095152.73821832,63385.60638439992,0.970627924436691,False,39080204.18286283,-2.5313497668461302,0.0,0.0,False
20180731,2018-07-31,996.0737,40216054.851959534,64284.79393342609,0.9843972420179989,False,39120431.30705316,-2.7243436705552084,0.0,0.0,False
20180831,2018-08-31,996.0741,40225008.11366882,63445.25932880657,0.9715413938648262,False,39120431.30705316,-2.7459952363323774,0.0,0.0,False
20180930,2018-09-30,996.3061,40451588.840500064,64284.39906407586,0.9843911953578863,False,39449399.78932079,-2.4775023179704747,0.0,0.0,False
20181031,2018-10-31,996.10535,40286805.39045461,63924.884023997,0.9788859181023642,False,39204461.29980631,-2.686596964336981,0.0,0.0,False
20181130,2018-11-30,996.3535,40531295.70274399,63864.82269612507,0.9779661950715912,False,39513763.18802532,-2.5104860258631865,0.0,0.0,False
20181231,2018-12-31,996.11707,40279641.58089712,63804.77055437758,0.9770466127085409,False,39210718.852458134,-2.653754319765178,0.0,0.0,False
20190131,2019-01-31,995.9934,40259044.41123036,63924.473263315645,0.9788796280972617,False,39050704.29178992,-3.001412818192412,0.0,0.0,False
20190228,2019-02-28,995.9016,40132767.61257713,63445.25227952009,0.9715412859186426,False,38954159.19373312,-2.9367733374925593,0.0,0.0,False
20190331,2019-03-31,996.6245,41285307.81503262,77507.94541466699,1.1868842230356267,False,39849883.15903789,-3.4768413558299187,0.0,0.0,False
20190430,2019-04-30,995.56104,39760213.47055487,63566.17798809917,0.9733930291806275,False,38569766.67369215,-2.99406540597255,0.0,0.0,False
20190531,2019-05-31,995.68274,39734228.27099844,63209.03470344406,0.9679240707705901,False,38689554.11017004,-2.6291542740013396,0.0,0.0,False
20190630,2019-06-30,995.8043,39902603.250129536,62786.27468699568,0.9614503190672208,False,38849568.67083825,-2.639012228576504,0.0,0.0,False
20190731,2019-07-31,995.8399,39976041.43108542,63505.302380585614,0.9724608370325969,False,38902310.90033224,-2.6859351059163306,0.0,0.0,False
20190831,2019-08-31,996.031,40214262.76616743,64044.98378194784,0.9807250135285123,False,39084673.86332843,-2.8089260504592337,0.0,0.0,False
20190930,2019-09-30,996.0467,40268004.46304675,63627.02976843359,0.9743248564615103,False,39097188.96863209,-2.907557774533133,0.0,0.0,False
